scc_id,child_uuid,child_label,child_internal_ids,parent_uuid,parent_label,parent_internal_ids,reason,source
1,95fcb3eb-e478-4539-b048-89575d09512c,Automobiles--Transmission devices,,4408c6ab-98b9-4038-8100-c4e6f1c352ac,Gearing,https://linked-art.library.yale.edu/node/9b21c22a-ef56-4282-9996-8487f8ee9c1e,Transmission is not a type of gearing.,scc0001_proposed_deletions.json
1,34c1e971-64ff-4a93-b968-abe9f3bda944,Mechanical movements,https://linked-art.library.yale.edu/node/09ab806b-e2c8-4b6d-a36d-71dff5a7484a,95fcb3eb-e478-4539-b048-89575d09512c,Automobiles--Transmission devices,,Mechanical movements are broader than specific transmission devices.,scc0001_proposed_deletions.json
1,eaee2b59-89d0-4b7e-8bee-cfd80f27b7ff,Jet engines,https://linked-art.library.yale.edu/node/d89739fc-41a1-4653-addb-457b47c2eeef,4d21cb80-6462-4a7f-b19a-cd063188611b,Airplanes--Motors,,Jet engines are not a type of airplane motor.,scc0001_proposed_deletions.json
1,eaee2b59-89d0-4b7e-8bee-cfd80f27b7ff,Jet engines,https://linked-art.library.yale.edu/node/d89739fc-41a1-4653-addb-457b47c2eeef,7b9bb19d-f843-4e9f-88f1-3252b579adaa,Airplanes--Turbojet engines,,Jet engines are broader than specific turbojet engines.,scc0001_proposed_deletions.json
1,c0ea0171-c0df-494e-85f4-29f31d1925fa,Automobiles--Power trains,,eaee2b59-89d0-4b7e-8bee-cfd80f27b7ff,Jet engines,https://linked-art.library.yale.edu/node/d89739fc-41a1-4653-addb-457b47c2eeef,Automobile powertrains are not a type of jet engine.,scc0001_proposed_deletions.json
1,7939bf06-4941-460c-87de-796f6d8bbd23,turbines,https://linked-art.library.yale.edu/node/6ec55032-6444-4cdb-94a3-1209eb6a701d https://linked-art.library.yale.edu/node/98eecb1e-30e5-4c92-b9f1-981f58f91f09,7e89255c-d2bc-456b-8563-8f6d34282eeb,Water-wheels,https://linked-art.library.yale.edu/node/d0a40091-4a77-41d6-8973-ca9784b56899 https://linked-art.library.yale.edu/node/1219401e-2190-4f6e-bec7-1198d5d2d5cd,Turbines are broader than water-wheels.,scc0001_proposed_deletions.json
1,4408c6ab-98b9-4038-8100-c4e6f1c352ac,Gearing,https://linked-art.library.yale.edu/node/9b21c22a-ef56-4282-9996-8487f8ee9c1e,d83720e8-c947-412c-bb9a-e0f0e9bbbbae,,,Gearing is not a type of this specific component.,scc0001_proposed_deletions.json
1,4408c6ab-98b9-4038-8100-c4e6f1c352ac,Gearing,https://linked-art.library.yale.edu/node/9b21c22a-ef56-4282-9996-8487f8ee9c1e,dbb3d036-0899-4f29-91f5-ca2775e6c733,,,Gearing is not a type of this specific component.,scc0001_proposed_deletions.json
1,7e89255c-d2bc-456b-8563-8f6d34282eeb,Water-wheels,https://linked-art.library.yale.edu/node/d0a40091-4a77-41d6-8973-ca9784b56899 https://linked-art.library.yale.edu/node/1219401e-2190-4f6e-bec7-1198d5d2d5cd,b8d8b7f4-0501-4354-9235-d35e4226ac2f,,,Water-wheels are not a type of hydraulic transmission.,scc0001_proposed_deletions.json
2,c63a6b06-b582-432b-9891-c1b9cbb9e9c6,Dams,https://linked-art.library.yale.edu/node/727d59c2-f7a2-4407-b0eb-f2f06322fa74 https://linked-art.library.yale.edu/node/1d088eec-7378-4e9e-935f-66dc4e517e4a,cac91d37-b826-4b7a-9673-fa5755794b67,<dams by function>,,"Dams is a specific type, not broader than its function.",scc0002_proposed_deletions.json
2,c63a6b06-b582-432b-9891-c1b9cbb9e9c6,Dams,https://linked-art.library.yale.edu/node/727d59c2-f7a2-4407-b0eb-f2f06322fa74 https://linked-art.library.yale.edu/node/1d088eec-7378-4e9e-935f-66dc4e517e4a,1ca208a8-2a48-4236-8f3b-01ed0cc67a6e,Embankments,https://linked-art.library.yale.edu/node/76786124-b996-4b48-9bc0-90c709c3cb04 https://linked-art.library.yale.edu/node/a0274e63-a5ad-4481-9e37-a04da227a5c3 https://linked-art.library.yale.edu/node/b8771f53-8a6f-485b-9a6d-ead5ad2cd4c4 https://linked-art.library.yale.edu/node/c8f24a6c-129b-48f0-a62c-5be3dfb5bab1,Dams are not a subset of embankments.,scc0002_proposed_deletions.json
2,9c881f13-3abd-416e-8ff3-cee56c86d99a,wells (structures),https://linked-art.library.yale.edu/node/e821ed6a-4c59-45cb-81b1-a1c1707680f1 https://linked-art.library.yale.edu/node/dd65fc46-eec4-40ca-92dc-9d993637e77e https://linked-art.library.yale.edu/node/ab2b3809-e729-4033-a264-2a02eb15c3be,3a8b5c43-da82-49cf-bbd5-9bff1f84ef13,wells by function,,Wells are not a subset of wells by function.,scc0002_proposed_deletions.json
2,86995e51-c55a-4c46-b65c-38b8bf9323fc,water distribution structures,,9c881f13-3abd-416e-8ff3-cee56c86d99a,wells (structures),https://linked-art.library.yale.edu/node/e821ed6a-4c59-45cb-81b1-a1c1707680f1 https://linked-art.library.yale.edu/node/dd65fc46-eec4-40ca-92dc-9d993637e77e https://linked-art.library.yale.edu/node/ab2b3809-e729-4033-a264-2a02eb15c3be,Water distribution structures are broader than individual wells.,scc0002_proposed_deletions.json
2,74faffc2-5467-4a5d-848f-e48b1d2a2714,reservoirs (water distribution structures),https://linked-art.library.yale.edu/node/c402a319-ed81-4ba4-81c4-78649209c2ef https://linked-art.library.yale.edu/node/806052eb-6726-4ac7-b5be-cc82a45bf565 https://linked-art.library.yale.edu/node/08c0aabd-74c2-4275-8128-49deeda0ff62 https://linked-art.library.yale.edu/node/a962c31e-2150-44fa-8847-e635e73d02b8 https://linked-art.library.yale.edu/node/d8f68658-d0e5-4e4b-b963-4fc3b736b0d9 https://linked-art.library.yale.edu/node/485a6c9e-2047-4f7b-a769-8faf549143ab,c63a6b06-b582-432b-9891-c1b9cbb9e9c6,Dams,https://linked-art.library.yale.edu/node/727d59c2-f7a2-4407-b0eb-f2f06322fa74 https://linked-art.library.yale.edu/node/1d088eec-7378-4e9e-935f-66dc4e517e4a,Reservoirs are distinct from dams.,scc0002_proposed_deletions.json
2,8134458d-f0e5-4115-856a-2635b37b0273,Water quality management,https://linked-art.library.yale.edu/node/1c46316b-13b8-47a0-8339-5becf286877a,74faffc2-5467-4a5d-848f-e48b1d2a2714,reservoirs (water distribution structures),https://linked-art.library.yale.edu/node/c402a319-ed81-4ba4-81c4-78649209c2ef https://linked-art.library.yale.edu/node/806052eb-6726-4ac7-b5be-cc82a45bf565 https://linked-art.library.yale.edu/node/08c0aabd-74c2-4275-8128-49deeda0ff62 https://linked-art.library.yale.edu/node/a962c31e-2150-44fa-8847-e635e73d02b8 https://linked-art.library.yale.edu/node/d8f68658-d0e5-4e4b-b963-4fc3b736b0d9 https://linked-art.library.yale.edu/node/485a6c9e-2047-4f7b-a769-8faf549143ab,Water quality management is not a subset of reservoirs.,scc0002_proposed_deletions.json
3,13375386-ee48-4542-a528-4932aced4e21,Electric railroads,https://linked-art.library.yale.edu/node/d83950dc-e9e6-464e-a5b4-50647ca2681a,c7cd0e43-8821-44ac-8997-fd572ce58c02,high-speed trains,https://linked-art.library.yale.edu/node/23fcf078-adeb-4b13-84d3-5c1cc08b6e39 https://linked-art.library.yale.edu/node/e24ce23f-6d90-4152-a1b3-7dcdd81102b3 https://linked-art.library.yale.edu/node/ddd4959d-9910-4660-b64c-4c06daec3d12 https://linked-art.library.yale.edu/node/c7e2ff43-23ce-4615-a6c7-f15fc15dbd02 https://linked-art.library.yale.edu/node/7e113bb1-fe32-4ddb-90f7-9d81b072dfd8 https://linked-art.library.yale.edu/node/1386dd5f-2599-4c43-a71b-abe58933f12a https://linked-art.library.yale.edu/node/25030e06-595c-416f-aa81-0802160f1213 https://data.paul-mellon-centre.ac.uk/concept/unrec_rsz24kvc,Electric railroads are not a subset of high-speed trains.,scc0003_proposed_deletions.json
3,cba29494-1baa-48cf-943b-0fc71b6d0219,Railroad engineering,https://linked-art.library.yale.edu/node/652837bc-2e62-4a90-a401-775bd20230cf https://linked-art.library.yale.edu/node/9008d96c-7256-48a0-a3ef-70e7a3bf133e,c7cd0e43-8821-44ac-8997-fd572ce58c02,high-speed trains,https://linked-art.library.yale.edu/node/23fcf078-adeb-4b13-84d3-5c1cc08b6e39 https://linked-art.library.yale.edu/node/e24ce23f-6d90-4152-a1b3-7dcdd81102b3 https://linked-art.library.yale.edu/node/ddd4959d-9910-4660-b64c-4c06daec3d12 https://linked-art.library.yale.edu/node/c7e2ff43-23ce-4615-a6c7-f15fc15dbd02 https://linked-art.library.yale.edu/node/7e113bb1-fe32-4ddb-90f7-9d81b072dfd8 https://linked-art.library.yale.edu/node/1386dd5f-2599-4c43-a71b-abe58933f12a https://linked-art.library.yale.edu/node/25030e06-595c-416f-aa81-0802160f1213 https://data.paul-mellon-centre.ac.uk/concept/unrec_rsz24kvc,"Railroad engineering is a discipline, not a specific train.",scc0003_proposed_deletions.json
3,f457f297-2043-49e7-87ab-e13d97a05988,Narrow gauge railroads,https://linked-art.library.yale.edu/node/48cc5486-4869-4c76-9e35-f12e9ecebded https://linked-art.library.yale.edu/node/56c6f1dd-b2f1-4429-862c-5e8bc746cbba,c7cd0e43-8821-44ac-8997-fd572ce58c02,high-speed trains,https://linked-art.library.yale.edu/node/23fcf078-adeb-4b13-84d3-5c1cc08b6e39 https://linked-art.library.yale.edu/node/e24ce23f-6d90-4152-a1b3-7dcdd81102b3 https://linked-art.library.yale.edu/node/ddd4959d-9910-4660-b64c-4c06daec3d12 https://linked-art.library.yale.edu/node/c7e2ff43-23ce-4615-a6c7-f15fc15dbd02 https://linked-art.library.yale.edu/node/7e113bb1-fe32-4ddb-90f7-9d81b072dfd8 https://linked-art.library.yale.edu/node/1386dd5f-2599-4c43-a71b-abe58933f12a https://linked-art.library.yale.edu/node/25030e06-595c-416f-aa81-0802160f1213 https://data.paul-mellon-centre.ac.uk/concept/unrec_rsz24kvc,Narrow gauge railroads are not a subset of high-speed trains.,scc0003_proposed_deletions.json
3,c7cd0e43-8821-44ac-8997-fd572ce58c02,high-speed trains,https://linked-art.library.yale.edu/node/23fcf078-adeb-4b13-84d3-5c1cc08b6e39 https://linked-art.library.yale.edu/node/e24ce23f-6d90-4152-a1b3-7dcdd81102b3 https://linked-art.library.yale.edu/node/ddd4959d-9910-4660-b64c-4c06daec3d12 https://linked-art.library.yale.edu/node/c7e2ff43-23ce-4615-a6c7-f15fc15dbd02 https://linked-art.library.yale.edu/node/7e113bb1-fe32-4ddb-90f7-9d81b072dfd8 https://linked-art.library.yale.edu/node/1386dd5f-2599-4c43-a71b-abe58933f12a https://linked-art.library.yale.edu/node/25030e06-595c-416f-aa81-0802160f1213 https://data.paul-mellon-centre.ac.uk/concept/unrec_rsz24kvc,e22e547d-f1cf-4c37-8163-8fbb850e3592,"Railroads, Miniature",https://linked-art.library.yale.edu/node/3a906df1-5efe-40ec-a27e-15f7eacd6076,High-speed trains are not a subset of miniature railroads.,scc0003_proposed_deletions.json
3,c7cd0e43-8821-44ac-8997-fd572ce58c02,high-speed trains,https://linked-art.library.yale.edu/node/23fcf078-adeb-4b13-84d3-5c1cc08b6e39 https://linked-art.library.yale.edu/node/e24ce23f-6d90-4152-a1b3-7dcdd81102b3 https://linked-art.library.yale.edu/node/ddd4959d-9910-4660-b64c-4c06daec3d12 https://linked-art.library.yale.edu/node/c7e2ff43-23ce-4615-a6c7-f15fc15dbd02 https://linked-art.library.yale.edu/node/7e113bb1-fe32-4ddb-90f7-9d81b072dfd8 https://linked-art.library.yale.edu/node/1386dd5f-2599-4c43-a71b-abe58933f12a https://linked-art.library.yale.edu/node/25030e06-595c-416f-aa81-0802160f1213 https://data.paul-mellon-centre.ac.uk/concept/unrec_rsz24kvc,143e141e-280e-42b9-b645-39de870ff7d1,permanent way,,High-speed trains are not a subset of permanent way.,scc0003_proposed_deletions.json
3,f7293ebb-7e68-4ea6-8871-223e2dd58916,Railroad trains,https://linked-art.library.yale.edu/node/49b17c0d-66d2-4869-b21c-5532042b3ecc,c7cd0e43-8821-44ac-8997-fd572ce58c02,high-speed trains,https://linked-art.library.yale.edu/node/23fcf078-adeb-4b13-84d3-5c1cc08b6e39 https://linked-art.library.yale.edu/node/e24ce23f-6d90-4152-a1b3-7dcdd81102b3 https://linked-art.library.yale.edu/node/ddd4959d-9910-4660-b64c-4c06daec3d12 https://linked-art.library.yale.edu/node/c7e2ff43-23ce-4615-a6c7-f15fc15dbd02 https://linked-art.library.yale.edu/node/7e113bb1-fe32-4ddb-90f7-9d81b072dfd8 https://linked-art.library.yale.edu/node/1386dd5f-2599-4c43-a71b-abe58933f12a https://linked-art.library.yale.edu/node/25030e06-595c-416f-aa81-0802160f1213 https://data.paul-mellon-centre.ac.uk/concept/unrec_rsz24kvc,"Railroad trains are the general category, not the subset.",scc0003_proposed_deletions.json
4,332d9c15-6b2b-4b1c-956a-e77512c35380,Echinoidea,https://linked-art.library.yale.edu/node/4a0f864d-d406-41b0-95ae-e0432ea8705c https://images.peabody.yale.edu/data/taxon/0/bb/0bbe7bde-8219-4100-953e-93720812d407.json https://linked-art.library.yale.edu/node/36322091-9cf9-4efa-9664-74d69bf60eb9,c5245fa9-6fe9-49f6-99f1-94f804bf8d67,,,"Echinoidea is a class, not a child of genus Paracentrotus.",scc0004_proposed_deletions.json
4,b8c366ff-ef8d-4794-bb30-acbd0401c5a5,Echinidae,https://linked-art.library.yale.edu/node/527e8d5c-7a12-4be1-8ccf-c40a2310f545 https://images.peabody.yale.edu/data/taxon/3/c3/3c31a4b3-c695-483e-8f2c-ef1c62449064.json,9c5e605a-fa34-48c4-b29d-aab3e1113f11,,,"Echinidae is a family, not a child of order Camarodonta.",scc0004_proposed_deletions.json
5,de68bf81-ef15-4412-b286-0cea2014b4cd,Heat-engines,https://linked-art.library.yale.edu/node/c38dc6a2-cef6-4da9-9f55-640add93a118,26bdd9b9-f9b2-4bef-b827-8ededa0a7043,Electric motors,https://linked-art.library.yale.edu/node/c52ae40c-cdda-4a7a-a9a4-01e92afb0bfe https://linked-art.library.yale.edu/node/39d60db7-d681-4066-8ba3-725a89884425 https://linked-art.library.yale.edu/node/62090530-1b8c-4240-b723-1ca34611e130 https://linked-art.library.yale.edu/node/ca46bbe5-f7aa-48f7-a685-2782b3f434f6,Heat engines are not a subset of electric motors.,scc0005_proposed_deletions.json
5,fba08aa1-e1f7-431f-ac50-549a626556c2,Internal combustion engines,https://linked-art.library.yale.edu/node/4640ca1c-4858-490a-955b-b38f7afe0141 https://linked-art.library.yale.edu/node/d7588fd0-2b5f-46b6-867e-2476fa8d9e3f https://linked-art.library.yale.edu/node/6a4fdda7-cea8-4766-a52d-ba91407c1e8b https://linked-art.library.yale.edu/node/cd89137a-0473-4ae6-a000-163019be6e1b,26bdd9b9-f9b2-4bef-b827-8ededa0a7043,Electric motors,https://linked-art.library.yale.edu/node/c52ae40c-cdda-4a7a-a9a4-01e92afb0bfe https://linked-art.library.yale.edu/node/39d60db7-d681-4066-8ba3-725a89884425 https://linked-art.library.yale.edu/node/62090530-1b8c-4240-b723-1ca34611e130 https://linked-art.library.yale.edu/node/ca46bbe5-f7aa-48f7-a685-2782b3f434f6,Internal combustion engines are not electric motors.,scc0005_proposed_deletions.json
5,b35ee5d3-97c4-44b5-8b66-b85558cef893,Diesel motor,https://linked-art.library.yale.edu/node/b085fe8d-a31e-472a-875b-8cd75b79bf8a https://linked-art.library.yale.edu/node/5f9fd2d0-39b2-440b-b9fd-5d2df6fe1bff,26bdd9b9-f9b2-4bef-b827-8ededa0a7043,Electric motors,https://linked-art.library.yale.edu/node/c52ae40c-cdda-4a7a-a9a4-01e92afb0bfe https://linked-art.library.yale.edu/node/39d60db7-d681-4066-8ba3-725a89884425 https://linked-art.library.yale.edu/node/62090530-1b8c-4240-b723-1ca34611e130 https://linked-art.library.yale.edu/node/ca46bbe5-f7aa-48f7-a685-2782b3f434f6,Diesel motors are not electric motors.,scc0005_proposed_deletions.json
