Parent	Expanded	Type	Example Place	Count of Kids	Parent URI
Italy		nation	Pesio Valley	2601	http://vocab.getty.edu/tgn/1000080
China		nation	Shuntian fu	2468	http://vocab.getty.edu/tgn/1000111
France		nation	Sedan Region	2102	http://vocab.getty.edu/tgn/1000070
Germany		nation	Stadtremda	1920	http://vocab.getty.edu/tgn/7000084
Japan		nation	Wakō-shi	1805	http://vocab.getty.edu/tgn/1000120
England		nation	Welland, River	1484	https://vocab.getty.edu/tgn/7002445
Spain		nation	Peralta	1387	http://vocab.getty.edu/tgn/1000095
Russia		nation	Chukotki Peninsula	1044	http://vocab.getty.edu/tgn/7002435
Mexico		nation	San Francisco Pichátaro	1022	http://vocab.getty.edu/tgn/7005560
Poland		nation	Łyna River	936	http://vocab.getty.edu/tgn/7006366
Indonesia		nation	Sepaku	914	http://vocab.getty.edu/tgn/1000116
Calif.	California	states	Minarets Wilderness	886	http://vocab.getty.edu/tgn/7007157
Ukraine		nation	Black Sea Region, Northern	688	http://vocab.getty.edu/tgn/7006660
India		nation	Pegu	609	http://vocab.getty.edu/tgn/7000198
Vietnam		nation	Con Thiền Mountain Region	551	http://vocab.getty.edu/tgn/1000145
Brazil		nation	Ibiara	541	http://vocab.getty.edu/tgn/1000047
Tex.	Texas	states	San Jacinto Battleground State Historic Site	498	http://vocab.getty.edu/tgn/7007826
Peru		nation	Huallaga River Valley	485	http://vocab.getty.edu/tgn/1000056
Ont.	Ontario	states		474	http://vocab.getty.edu/tgn/7013154
N.Y.	New York	states	Carleton Island	444	http://vocab.getty.edu/tgn/7007568
Slovakia		nation	Handlová	438	http://vocab.getty.edu/tgn/7011765
Québec			Lac-Mégantic	435	http://vocab.getty.edu/tgn/7005804
Czech Republic		nation	Litovel	427	http://vocab.getty.edu/tgn/1001780
Greece		nation	Agios Petros Site	414	http://vocab.getty.edu/tgn/1000074
Colo.	Colorado	states	Arkansas River Basin	408	http://vocab.getty.edu/tgn/7007158
Sask.	Saskatchewan	states	Motherwell Homestead National Historic Site	405	http://vocab.getty.edu/tgn/7005805
Switzerland		nation	Martigny	388	http://vocab.getty.edu/tgn/7011731
B.C.	British Columbia	states	Cariboo Gold Mines	378	http://vocab.getty.edu/tgn/7005735
Hungary		nation	Szentpéterfa	368	http://vocab.getty.edu/tgn/7006278
Sweden		nation	Saltsjöbaden	350	http://vocab.getty.edu/tgn/1000097
Egypt		nation	Minūfīyah	339	http://vocab.getty.edu/tgn/7016833
Alta.	Alberta	states	Peace River Region	331	http://vocab.getty.edu/tgn/7005694
Or.	Oregon	states	Sheep Mountain Wilderness	324	http://vocab.getty.edu/tgn/7007708
Alaska		states	Tigara	324	http://vocab.getty.edu/tgn/7006450
N.M.	New Mexico	states	Arch Lake Burial Site	321	http://vocab.getty.edu/tgn/7007566
Serbia		nation	Stepojevac	318	http://vocab.getty.edu/tgn/7006669
Wash.	Washington	states	Offut Lake	311	http://vocab.getty.edu/tgn/7007920
Austria		nation	Kleinklein	296	http://vocab.getty.edu/tgn/1000062
South Africa		nation	Ntabelanga	295	http://vocab.getty.edu/tgn/1000193
Belgium		nation	Froidchapelle	292	http://vocab.getty.edu/tgn/1000063
Turkey		nation	Van Lake Region	292	http://vocab.getty.edu/tgn/1000144
Nigeria		nation	Bauchi Province	292	http://vocab.getty.edu/tgn/1000182
Israel		nation	Kefar Aḥim	282	http://vocab.getty.edu/tgn/1000119
Mont.	Montana	states	Joliet & White Horse Bench Irrigation District	275	http://vocab.getty.edu/tgn/7007524
Croatia		nation	Polje	272	http://vocab.getty.edu/tgn/7006663
Colombia		nation	Urabá, Gulf of	271	http://vocab.getty.edu/tgn/1000050
Ariz.	Arizona	states	Kayenta Region	266	http://vocab.getty.edu/tgn/7006451
Pa.	Pennsylvania	states	Wymans Run	263	http://vocab.getty.edu/tgn/7007710
Scotland		nation	Balnuaran of Clara Site	252	http://vocab.getty.edu/tgn/7002444
Wyo.	Wyoming	states	Osage	251	http://vocab.getty.edu/tgn/7007923
Mass.	Massachusetts	states	Ashumet Pond	245	http://vocab.getty.edu/tgn/7007517
Utah		states	Price Region	242	http://vocab.getty.edu/tgn/7007827
Korea		nation	Seoul Region	238	http://vocab.getty.edu/tgn/7059230
Romania		nation	Predial	237	http://vocab.getty.edu/tgn/1000091
N.Z.	New Zealand	nation	Waiheke County	236	http://vocab.getty.edu/tgn/1000226
Va.	Virginia	states	Bristol Region	233	http://vocab.getty.edu/tgn/7007919
Vietnam : District	Vietnam	nation	Tiên Yên	231	http://vocab.getty.edu/tgn/1000145
Argentina		nation	Kipon	229	http://vocab.getty.edu/tgn/7006477
N.S.W.	New South Wales	states	Blue Mountains Region	227	http://vocab.getty.edu/tgn/7001828
Ill.	Illinois	states	Illinois River Region	217	http://vocab.getty.edu/tgn/7007251
Belarus		nation	Smorgonʹ	215	http://vocab.getty.edu/tgn/7006657
Nev.	Nevada	states	Newark	214	http://vocab.getty.edu/tgn/7007526
Minn.	Minnesota	states	East Otter Tail County Soil and Water Conservation District	212	http://vocab.getty.edu/tgn/7007521
Iran		nation	Mamasānī	202	http://vocab.getty.edu/tgn/7000231
Kan.	Kansas	states	Ennis City	196	http://vocab.getty.edu/tgn/7007254
Fla.	Florida	states	Saint Sebastian River	194	http://vocab.getty.edu/tgn/7007240
Neb.	Nebraska	states	Orleans	194	http://vocab.getty.edu/tgn/7007525
Idaho		states	Milner	186	http://vocab.getty.edu/tgn/7007250
Syria		nation	Jabal Mūsa	178	http://vocab.getty.edu/tgn/1000140
